id,title,url,date,feed,type,description,image,_url,site_name,image:width,image:height,locale,latitude,longitude,streetaddress,city,state,image:type,updated_time,image:url,email
44,"Watchdog Group Sues Trump Administration, Seeking Legal Rationale Behind Syria Strike",https://www.nytimes.com/2017/05/08/world/middleeast/syria-united-protect-democracy-trump-lawsuit.html,2017-05-08T21:05:43,instapaper,article,The administration has offered no explanation for what lawful authority it used to carry out the strike to punish Syria for a chemical weapons attack.,https://static01.nyt.com/images/2017/05/09/world/09Syria-law/09Syria-law-facebookJumbo.jpg,https://www.nytimes.com/2017/05/08/world/middleeast/syria-united-protect-democracy-trump-lawsuit.html,,,,,,,,,,,,,
47,You’re Not Ready for Black Panther’s Stunning New Spin on Superhero Movies,http://www.vulture.com/2017/04/black-panther-looks-like-a-stunning-spin-on-superhero-movies.html,2017-04-25T12:10:47,instapaper,article,"From its cinematographer to its cast, Black Panther doesn’t look like any of the other Marvel movies.",https://pixel.nymag.com/imgs/daily/vulture/2017/04/18/18-chadwick-black-panther.w1200.h630.jpg,http://www.vulture.com/2017/04/black-panther-looks-like-a-stunning-spin-on-superhero-movies.html,Vulture,,,,,,,,,,,,
43,The Senate Starts to Look at Trump’s Businesses,https://www.newyorker.com/business/adam-davidson/the-senate-starts-to-look-at-trumps-businesses,2017-05-15T18:06:19,instapaper,article,A Senate panel’s request for information from a Treasury enforcement unit suggests a broader scope to its investigation.,"https://media.newyorker.com/photos/5916137abd3c95238e5c30ed/16:9/w_1200,h_630,c_limit/Davidson-Could-Donald-Trumps-Businesses-Become-Part-of-the-Russia-Probe.jpg",http://www.newyorker.com/business/adam-davidson/the-senate-starts-to-look-at-trumps-businesses,The New Yorker,,,en_US,,,,,,,,,
37,"Star Wars Nerds, Mark Hamill Is One of You",https://www.vanityfair.com/hollywood/2017/05/mark-hamill-star-wars-nerd,2017-05-30T02:13:16,instapaper,article,"Even if he weren’t Luke Skywalker, he’d probably be collecting lightsabers.","https://media.vanityfair.com/photos/5925bcb67b959f02077a747e/16:9/w_1200,h_630,c_limit/t-mark-hamill-luke-skywalker-extra-5.jpg",http://www.vanityfair.com/hollywood/2017/05/mark-hamill-star-wars-nerd,HWD,,,,,,,,,,,,
39,Bruce Lee and the Art of Scientific Street Fighting,https://sports.vice.com/en_us/article/pae7v9/bruce-lee-and-the-art-of-scientific-street-fighting,2017-05-31T19:23:56,instapaper,article,The recent uproar over an MMA fighter's beatdown of a tai chi practitioner is a virtual case study for Bruce Lee's emphasis on real world application of the fighting arts.,"https://video-images.vice.com/articles/592db95197924a42940f4b1f/lede/1496767534852-brucelee39993.jpeg?crop=1xw:0.8152xh;0xw,0.0831xh&resize=1200:*",https://sports.vice.com/en_us/article/bruce-lee-and-the-art-of-scientific-street-fighting,Sports,1200,675,en_us,,,,,,image/jpeg,,,
45,"Judy Woodruff, the Woman of the Hour",https://www.nytimes.com/2017/05/06/style/judy-woodruff-pbs-newshour.html,2017-05-07T12:31:35,instapaper,article,"Though still mourning her “PBS NewsHour” co-anchor, Gwen Ifill, Ms. Woodruff continues to be a pioneering role model in journalism.",https://static01.nyt.com/images/2017/05/07/fashion/07WOODRUFF5-WEB/07WOODRUFF5-WEB-facebookJumbo.jpg,https://www.nytimes.com/2017/05/06/style/judy-woodruff-pbs-newshour.html?nytmobile=0,,,,,,,,,,,,,
58,A 130-Year-Old Fact About Dinosaurs Might Be Wrong,https://www.theatlantic.com/science/archive/2017/03/dinosaur-family-tree-saurischia-ornithischia-childhood-shattered-what-is-real-anymore/520338/,2017-03-22T23:09:26,instapaper,article,New research on the creatures’ family tree could “shake dinosaur paleontology to its core.”,https://cdn.theatlantic.com/assets/media/img/mt/2017/03/RTR4WSR1/facebook.jpg?1490194214,https://www.theatlantic.com/science/archive/2017/03/dinosaur-family-tree-saurischia-ornithischia-childhood-shattered-what-is-real-anymore/520338/,The Atlantic,,,en_US,,,,,,,,,
59,"Debunking a Myth: The Irish Were Not Slaves, Too",https://www.nytimes.com/2017/03/17/us/irish-slaves-myth.html,2017-03-20T19:09:22,instapaper,article,"Widespread memes used against African-Americans say America was built by Irish slaves whose history has been covered up. That’s false, historians say.",https://static01.nyt.com/images/2017/03/17/us/17irish2a_xp/17irish2_xp-facebookJumbo-v3.jpg,https://www.nytimes.com/2017/03/17/us/irish-slaves-myth.html,,,,,,,,,,,,,
60,Dismal Voucher Results Surprise Researchers as DeVos Era Begins,https://www.nytimes.com/2017/02/23/upshot/dismal-results-from-vouchers-surprise-researchers-as-devos-era-begins.html,2017-02-27T19:46:38,instapaper,article,"The new studies come at an interesting moment, with a proponent of vouchers newly in charge of the Education Department.",https://static01.nyt.com/images/2017/02/22/upshot/23up-vouchers/23up-vouchers-facebookJumbo.jpg,https://www.nytimes.com/2017/02/23/upshot/dismal-results-from-vouchers-surprise-researchers-as-devos-era-begins.html,,,,,,,,,,,,,
51,Dave Chappelle Is an American Folk Hero,https://www.nytimes.com/2017/04/19/t-magazine/dave-chappelle-profile.html,2017-04-20T15:36:11,instapaper,article,Eleven years on the road doing standup has given the comedian a unique empathy for the people of this country.,https://static01.nyt.com/images/2017/04/19/t-magazine/chappelle-promo/chappelle-promo-facebookJumbo.jpg,https://www.nytimes.com/2017/04/19/t-magazine/dave-chappelle-profile.html,,,,,,,,,,,,,
